reporterISO,reporterDesc,refYear,previous_import_value,import_value,growth_percent,next_year_import_value
MRT,Mauritania,2023,1705161.912,2125991.097,24.6797199748853,5360973.734
MSR,Montserrat,2022,47232.478,71747.548,51.902993529155914,89107.596
MSR,Montserrat,2023,71747.548,89107.596,24.196015730042802,53289.1
MUS,Mauritius,2022,6414811.472,7899782.924,23.149105137099493,8766962.507
MUS,Mauritius,2023,7899782.924,8766962.507,10.97725837966329,12123173.993
MUS,Mauritius,2024,8766962.507,12123173.993,38.28248932649395,11861652.405
MWI,Malawi,2022,2734898.098,1519958.336,-44.42358429692397,2953369.24
MWI,Malawi,2023,1519958.336,2953369.24,94.30593392265197,3453210.661
MYS,Malaysia,2022,192435344.746,203137519.794,5.561439382212277,178265286.582
MYS,Malaysia,2023,203137519.794,178265286.582,-12.244037062785216,233158802.833
MYS,Malaysia,2024,178265286.582,233158802.833,30.793160745712335,316400977.891
NAM,Namibia,2022,6079441.134,10850080.977,78.4716841210885,4566990.707
NAM,Namibia,2023,10850080.977,4566990.707,-57.90823389538653,5243011.301
NER,Niger,2022,1270002.607,3411826.457,168.64720105255654,1515124.02
NER,Niger,2023,3411826.457,1515124.02,-55.59199627837342,1598430.035
NGA,Nigeria,2022,3978428.503,5188515.461,30.416204717202127,4024633.098
NGA,Nigeria,2023,5188515.461,4024633.098,-22.431895438077408,9249846.286
NGA,Nigeria,2024,4024633.098,9249846.286,129.83079601955805,9156233.669
NIC,Nicaragua,2022,2146072.23,2525363.96,17.6737634781286,2399163.88
NIC,Nicaragua,2023,2525363.96,2399163.88,-4.997302646229262,3574723.7
NLD,Netherlands,2022,1117182422.078,1032854564.942,-7.548262080524607,896581009.853
NLD,Netherlands,2023,1032854564.942,896581009.853,-13.193876438610932,843992979.435
NLD,Netherlands,2024,896581009.853,843992979.435,-5.865396415949322,918399424.133
NOR,Norway,2022,316466994.079,308947706.073,-2.376010183268254,276357829.09
NOR,Norway,2023,308947706.073,276357829.09,-10.548670969998888,281098415.76
NOR,Norway,2024,276357829.09,281098415.76,1.715379906409735,328249168.006
NZL,New Zealand,2022,107433497.939,102286060.44,-4.791277951242616,71409718.674
NZL,New Zealand,2023,102286060.44,71409718.674,-30.186265492267893,80589856.369
NZL,New Zealand,2024,71409718.674,80589856.369,12.855585857870716,78129040.989
OMN,Oman,2022,32007799.69,33926800.987,5.995417728134383,25366946.644
OMN,Oman,2023,33926800.987,25366946.644,-25.230360935827544,27387178.111
PAK,Pakistan,2022,1228248.751,926544.571,-24.56376851630114,634850.748
PAK,Pakistan,2023,926544.571,634850.748,-31.481898672740694,720951.536
PAK,Pakistan,2024,634850.748,720951.536,13.562366945498178,976787.612
PAN,Panama,2022,38074114.0,38222817.0,0.3905619445274551,36291214.0
