reporterISO,reporterDesc,demand,growth_percentage,gdp_per_capita,logistics_lpi,demand_log,demand_norm,growth_norm,gdp_norm,logistics_norm,market_score,market_score_100,rank
MUS,Mauritius,12123173.993,23.63577257851062,11990.9355434317,2.5,16.310629467417908,0.3195463391992448,0.46543274028748066,0.0835954614701175,0.1818181818181818,0.26489690330394483,26.489690330394485,76
NGA,Nigeria,9249846.286,32.47715289758189,1084.16041805058,2.6,16.0401175997307,0.29072526957932676,0.557547444042377,0.004137961341836625,0.2272727272727273,0.26271809799948254,26.271809799948254,77
MKD,North Macedonia,15349718.65,-1.9043306964271034,9291.8566035502,3.1,16.546607767987044,0.344688108718049,0.1993409127517237,0.06393226471887976,0.4545454545454546,0.2587116971631585,25.87116971631585,78
MRT,Mauritania,5360973.734,48.57459251411027,2104.54260769051,2.3,15.494656369871876,0.23261034761625365,0.7252600441089474,0.011571599335851574,0.0909090909090908,0.2540468313718249,25.404683137182488,79
SLV,El Salvador,13494092.67,11.286288986275416,5503.10317151907,2.7,16.41776264174909,0.3309605987746217,0.33676855193999944,0.03633062510947061,0.2727272727272728,0.2479131658288336,24.79131658288336,80
JAM,Jamaica,13829906.8,11.783782800057075,7753.8119527678,2.5,16.44234403695205,0.33357956743043854,0.3419517352917597,0.05272737769847612,0.1818181818181818,0.23964037684294986,23.964037684294986,81
LKA,Sri Lanka,4399198.132,27.350968805630703,4545.36006870612,2.8,15.29693306686712,0.2115443695129585,0.504139841158855,0.02935332230091372,0.3181818181818181,0.2390436532244099,23.90436532244099,82
EGY,Egypt,22158806.678,-16.299880375954068,3338.47371043679,3.1,16.913745613251404,0.38380397261318105,0.04935960369546845,0.02056097333757569,0.4545454545454546,0.23568752263369946,23.568752263369948,83
HND,Honduras,9954250.62,5.19137063315418,3415.96027916712,2.9,16.113510316361236,0.29854472908655055,0.27326810537545,0.02112547466579163,0.3636363636363636,0.23284206218832307,23.284206218832306,84
TGO,Togo,8121588.878,22.530092353184617,1266.08777721447,2.5,15.910036490755228,0.2768660746757108,0.4539131129523848,0.005463329564608841,0.1818181818181818,0.22989444564641032,22.989444564641033,85
UKR,Ukraine,28882584.84,-13.97993073119208,5391.62255859375,2.7,17.178749405376788,0.412038196892093,0.07353020450002423,0.03551847204736143,0.2727272727272728,0.22753410497540527,22.75341049754053,86
KGZ,Kyrgyzstan,7926337.0,23.955894766831044,2514.81066933171,2.3,15.885701696284535,0.27427337953215714,0.4687679616531874,0.014560463980601098,0.0909090909090908,0.2200114005759842,22.00114005759842,87
ARG,Argentina,4675935.36,10.122734008637234,13969.7836603737,2.8,15.35793999155847,0.21804421308307328,0.32464595137315316,0.0980116681580016,0.3181818181818181,0.21947648186673296,21.947648186673298,88
GMB,Gambia,5128240.298,31.26216995510105,871.340287547821,2.3,15.450273331467791,0.22788165807400138,0.5448890366698922,0.0025875346252013706,0.0909090909090908,0.21428434112498287,21.428434112498287,89
PRY,Paraguay,8204169.272,3.709319390040422,6456.60723068562,2.7,15.92015315271281,0.27794393133720774,0.25782722326403096,0.043277045846360516,0.2727272727272728,0.21230751726605232,21.23075172660523,90
MDA,Rep. of Moldova,12383578.0,-3.345192781285611,7578.90216348853,2.5,16.33188187875575,0.32181062886607487,0.1843291635328703,0.05145313352966096,0.1818181818181818,0.20315343823166349,20.315343823166348,91
KHM,Cambodia,5239698.04,14.897430479468877,2627.87969756224,2.4,15.471774619533262,0.23017246374382652,0.37439154935195457,0.0153841888875376,0.1363636363636363,0.1904786785999745,19.04786785999745,92
GUY,Guyana,3911712.417,1.7851461935312507,29675.2501582835,2.4,15.179486050040301,0.1990312451256342,0.23778005443144162,0.21242835796105394,0.1363636363636363,0.19010872598329825,19.010872598329826,93
NIC,Nicaragua,3574723.7,18.540307166015513,2847.87639497305,2.5,15.089398724152048,0.1894330965730545,0.41234518268599835,0.01698689797540192,0.1818181818181818,0.1889123820342291,18.891238203422912,94
NAM,Namibia,5243011.301,-4.814153010874811,4501.84849548225,2.9,15.472406757727772,0.23023981346518677,0.16902467130506083,0.029036333934024973,0.3636363636363636,0.18625358097934638,18.625358097934637,95
TTO,Trinidad and Tobago,6605983.085,-6.768895716497248,18733.4110406494,2.5,15.703486475756492,0.2548596746860544,0.14865901133485723,0.13271541136606674,0.1818181818181818,0.18549148168733387,18.54914816873339,96
GHA,Ghana,13166815.062,-14.75230957117326,2419.2518672482,2.5,16.393210287619883,0.32834472423373484,0.06548310716184633,0.013864303709437212,0.1818181818181818,0.1744800991404779,17.44800991404779,97
IRQ,Iraq,14742236.0,-21.037528231083545,6073.61032342708,2.4,16.50622719711822,0.3403858529454923,0.0,0.04048685567027369,0.1363636363636363,0.1647062577667971,16.47062577667971,98
BFA,Burkina Faso,6237702.955,2.788802027721937,982.493100418428,2.3,15.64612271670373,0.24874798388500033,0.2482367316132756,0.003397299614521842,0.0909090909090908,0.16346236343592324,16.346236343592324,99
AGO,Angola,9524936.44,-4.146700296808737,2720.81900669715,2.1,16.069423910976468,0.29384764363240873,0.17597858650922618,0.016061265757888077,0.0,0.15594702790638634,15.594702790638634,100
GRD,Grenada,1261882.784,6.560368801298577,11528.9220811928,2.5,14.048116229094848,0.07849202940055257,0.28753113401449665,0.08022962378545798,0.1818181818181818,0.13222169059293923,13.222169059293924,101
BEN,Benin,1188127.524,1.3633214579427122,1485.38018885134,2.9,13.987889958238318,0.07207535881177389,0.23338523607130268,0.0070609078244942315,0.3636363636363636,0.13146482684932348,13.146482684932348,102
MDG,Madagascar,2338284.749,-6.583452864905459,550.37875528856,2.3,14.664928632964273,0.14420889937131995,0.15059106410505582,0.0002492815029456474,0.0909090909090908,0.1014879925064919,10.14879925064919,103
BOL,Bolivia (Plurinational State of),2152275.0,-13.542492882139868,4421.16609889999,2.4,14.58203644482823,0.13537734035085333,0.07808768946531937,0.02844855051838763,0.1363636363636363,0.09591272959162818,9.591272959162819,104
CAF,Central African Rep.,604040.01,-13.19883598104048,516.160999996036,2.5,13.311397371963025,0.0,0.08166810932010299,0.0,0.1818181818181818,0.043606349136747866,4.360634913674787,105
